Tag,midjourney,dalle,stable diffusion
2023-10-02,73,77,49
2023-10-03,72,70,45
2023-10-04,75,74,49
2023-10-05,77,77,47
2023-10-06,70,75,47
2023-10-07,65,73,46
2023-10-08,66,71,48
2023-10-09,75,75,50
2023-10-10,70,71,45
2023-10-11,76,70,44
2023-10-12,72,73,49
2023-10-13,67,72,46
2023-10-14,57,71,43
2023-10-15,61,71,48
2023-10-16,66,72,43
2023-10-17,73,73,47
2023-10-18,73,79,47
2023-10-19,72,69,48
2023-10-20,67,70,47
2023-10-21,67,68,42
2023-10-22,60,71,48
2023-10-23,72,78,47
2023-10-24,74,74,46
2023-10-25,75,73,46
2023-10-26,74,66,47
2023-10-27,70,68,40
2023-10-28,57,61,39
2023-10-29,57,60,44
2023-10-30,72,68,43
2023-10-31,77,67,46
2023-11-01,63,66,45
2023-11-02,67,64,42
2023-11-03,69,75,46
2023-11-04,57,64,37
2023-11-05,60,67,41
2023-11-06,65,63,44
2023-11-07,71,69,44
2023-11-08,69,68,42
2023-11-09,68,71,43
2023-11-10,66,65,42
2023-11-11,56,77,40
2023-11-12,56,68,41
2023-11-13,67,69,43
2023-11-14,68,67,42
2023-11-15,69,66,43
2023-11-16,66,66,44
2023-11-17,63,66,44
2023-11-18,56,60,37
2023-11-19,56,62,43
2023-11-20,65,63,47
2023-11-21,65,64,43
2023-11-22,71,63,51
2023-11-23,67,63,46
2023-11-24,60,61,45
2023-11-25,55,60,43
2023-11-26,57,57,47
2023-11-27,73,61,50
2023-11-28,90,69,49
2023-11-29,81,69,52
2023-11-30,72,68,57
2023-12-01,71,65,51
2023-12-02,65,63,53
2023-12-03,61,68,50
2023-12-04,73,67,54
2023-12-05,71,65,55
2023-12-06,74,66,55
2023-12-07,69,63,51
2023-12-08,73,66,51
2023-12-09,63,59,47
2023-12-10,61,59,49
2023-12-11,67,62,47
2023-12-12,75,62,45
2023-12-13,73,63,46
2023-12-14,71,62,48
2023-12-15,65,59,49
2023-12-16,57,60,44
2023-12-17,61,60,50
2023-12-18,66,61,48
2023-12-19,62,63,45
2023-12-20,67,61,45
2023-12-21,91,61,47
2023-12-22,100,65,43
2023-12-23,82,62,46
2023-12-24,84,79,42
2023-12-25,82,67,48
2023-12-26,81,58,45
2023-12-27,81,56,42
2023-12-28,74,59,40
2023-12-29,73,58,40
